
..................TÜRKÝYE VE YAKIN ÇEVRESÝNDEKÝ SON DEPREMLER....................
.....BÖLGESEL DEPREM-TSUNAMÝ ÝZLEME VE DEÐERLENDÝRME MERKEZÝ HIZLI ÇÖZÜMLERÝ.....
......(YAPAY SARSINTI ANALÝZÝ YAPILMAMIÞTIR) Son 500 deprem listelenmiþtir......
                                                        Büyüklük
Tarih      Saat      Enlem(N)  Boylam(E) Derinlik(km)  MD   ML   Mw    Yer                                             Çözüm Niteliði
2023.01.28 21:42:42  38.6083   44.4493        9.0      -.-  2.6  -.-   KURUCAN-SARAY (VAN)                               Ýlksel
2023.01.28 21:40:49  38.4128   45.1557        9.1      -.-  3.0  -.-   IRAN                                              Ýlksel
2023.01.28 21:14:40  38.3003   45.3360        5.0      -.-  5.9  6.1   IRAN                                              Ýlksel
2023.01.28 20:59:39  38.8360   26.7495       14.3      -.-  2.2  -.-   CANDARLI KORFEZI (EGE DENIZI)                     Ýlksel
2023.01.28 20:54:02  36.2222   29.7848        5.0      -.-  1.4  -.-   SAHILKILINCLI-KAS (ANTALYA)                       Ýlksel
2023.01.28 20:36:10  37.6817   31.2860       17.0      -.-  1.8  -.-   ELDERE-AKSU (ISPARTA)                             Ýlksel
2023.01.28 18:58:12  39.6548   23.4098       16.8      -.-  3.7  3.7   YUNANISTAN                                        Ýlksel
2023.01.28 18:39:16  38.3983   28.0747        6.8      -.-  2.3  -.-   BAHCECIK-SALIHLI (MANISA)                         Ýlksel
2023.01.28 16:49:56  39.3790   26.2333       10.8      -.-  3.0  -.-   MIDILLI ADASI (EGE DENIZI)                        Ýlksel
2023.01.28 16:36:27  40.0818   24.1413        7.1      -.-  2.5  -.-   YUNANISTAN                                        Ýlksel
2023.01.28 14:44:18  36.4487   25.6913       11.8      -.-  3.1  -.-   AKDENIZ                                           Ýlksel
2023.01.28 14:43:40  37.1162   28.4668       11.1      -.-  2.1  -.-   ARMUTCUK-ULA (MUGLA)                              Ýlksel
2023.01.28 13:12:37  40.8005   31.1235        6.5      -.-  2.1  -.-   BATAKLICIFTLIK-(DUZCE)                            Ýlksel
2023.01.28 12:47:06  39.5417   26.5280        8.9      -.-  2.0  -.-   ARIKLI-AYVACIK (CANAKKALE)                        Ýlksel
2023.01.28 12:31:09  36.6310   36.1932        8.2      -.-  1.6  -.-   DENIZCILER-ISKENDERUN (HATAY)                     Ýlksel
2023.01.28 12:13:17  39.4537   31.6412        0.0      -.-  1.6  -.-   KOCAS-SIVRIHISAR (ESKISEHIR)                      Ýlksel
2023.01.28 12:08:31  37.1460   28.3988       12.7      -.-  2.0  -.-   YENIKOY-(MUGLA)                                   Ýlksel
2023.01.28 12:04:42  39.4887   26.3412       10.4      -.-  1.3  -.-   BEHRAM-AYVACIK (CANAKKALE)                        Ýlksel
2023.01.28 12:02:07  37.1235   28.4685        7.2      -.-  2.9  -.-   ARMUTCUK-ULA (MUGLA)                              Ýlksel
2023.01.28 11:57:31  37.1035   28.4607       11.3      -.-  2.7  -.-   CICEKLI-ULA (MUGLA)                               Ýlksel
2023.01.28 09:33:09  38.3547   27.1498       10.7      -.-  1.4  -.-   GAZIEMIR (IZMIR)                                  Ýlksel
2023.01.28 07:14:32  37.9308   27.1897       10.5      -.-  1.4  -.-   KUSADASI KORFEZI (EGE DENIZI)                     Ýlksel
2023.01.28 06:23:19  37.3557   29.5195        7.0      -.-  1.8  -.-   KUMAFSARI-ACIPAYAM (DENIZLI)                      Ýlksel
2023.01.28 05:49:20  40.3732   27.0960        6.5      -.-  1.9  -.-   ESKIBALIKLI-BIGA (CANAKKALE)                      Ýlksel
2023.01.28 05:34:56  35.7890   28.5367       13.9      -.-  2.7  -.-   AKDENIZ                                           Ýlksel
2023.01.28 05:28:42  38.9510   27.2977        6.8      -.-  2.3  -.-   KOCAKOY-BERGAMA (IZMIR)                           Ýlksel
2023.01.28 04:43:16  37.8623   27.1958        5.0      -.-  1.4  -.-   KUSADASI KORFEZI (EGE DENIZI)                     Ýlksel
2023.01.28 02:47:09  39.3627   26.2332        3.3      -.-  1.6  -.-   MIDILLI ADASI (EGE DENIZI)                        Ýlksel
2023.01.28 02:28:54  37.3460   28.0767        4.5      -.-  1.1  -.-   YENIKOY-YATAGAN (MUGLA)                           Ýlksel
2023.01.28 02:14:07  38.3568   27.1930        6.5      -.-  1.8  -.-   ZAFER-BUCA (IZMIR)                                Ýlksel
2023.01.28 02:01:43  39.1737   43.9203       53.2      -.-  1.4  -.-   SERPMETAS-CALDIRAN (VAN)                          Ýlksel
2023.01.28 01:19:16  39.9095   39.6997        5.4      -.-  2.3  -.-   GULLUCE-KELKIT (GUMUSHANE)                        Ýlksel
2023.01.28 01:16:23  40.7575   31.0805       13.0      -.-  1.4  -.-   GOLORMANI-(DUZCE)                                 Ýlksel
2023.01.28 01:10:56  35.6297   25.3345       17.5      -.-  2.5  -.-   GIRIT ADASI (AKDENIZ)                             Ýlksel
2023.01.28 00:43:00  35.7860   28.6480       18.3      -.-  1.8  -.-   AKDENIZ                                           Ýlksel
2023.01.27 23:59:12  37.0255   28.2043        5.0      -.-  1.5  -.-   GOKOVA KORFEZI (AKDENIZ)                          Ýlksel
2023.01.27 23:41:53  37.3812   28.0793        8.9      -.-  1.3  -.-   YAVA-YATAGAN (MUGLA)                              Ýlksel
2023.01.27 23:28:29  35.8325   28.6410       23.2      -.-  2.1  -.-   AKDENIZ                                           Ýlksel
2023.01.27 23:00:18  35.4537   27.2793        6.8      -.-  2.2  -.-   AKDENIZ                                           Ýlksel
2023.01.27 22:40:57  39.3823   26.2097        1.4      -.-  1.4  -.-   MIDILLI ADASI (EGE DENIZI)                        Ýlksel
2023.01.27 22:38:09  39.3487   26.2168        3.8      -.-  1.6  -.-   MIDILLI ADASI (EGE DENIZI)                        Ýlksel
2023.01.27 22:37:34  39.3752   26.2363        4.0      -.-  1.8  -.-   MIDILLI ADASI (EGE DENIZI)                        Ýlksel
2023.01.27 22:06:06  38.3327   27.1950        7.6      -.-  1.1  -.-   ZAFER-BUCA (IZMIR)                                Ýlksel
2023.01.27 22:03:25  37.7935   43.4592        7.5      -.-  2.4  -.-   TOPYILDIZ-GURPINAR (VAN)                          Ýlksel
2023.01.27 21:19:57  38.8978   30.1580        5.6      -.-  2.0  -.-   IYICE-SINANPASA (AFYONKARAHISAR)                  Ýlksel
2023.01.27 20:23:56  39.3753   26.2347       11.2      -.-  2.5  -.-   MIDILLI ADASI (EGE DENIZI)                        Ýlksel
2023.01.27 18:28:14  39.4537   39.9755        5.0      -.-  2.6  -.-   NOHUTLU-PULUMUR (TUNCELI)                         Ýlksel
